47012   1	100
79604	1	100
79605	1	100
81760	1	100
83155	1	100
83173	1	100
83252	1	100
83254	1	100
83255	1	100
83490	1	100
83491	1	100
83492	1	100
83493	1	100
83494	1	100
83495	1	100
83497	1	100
83498	1	100
83499	1	100
83500	1	100
83501	1	100
83503	1	100
83514	1	100
83515	1	100
83516	1	100
83517	1	100
84048	1	100
84222	1	100
85228	1	100
85723	1	100
86153	1	100
86847	1	100
87005	1	100
87006	1	100
87007	1	100
87008	1	100
87009	1	100
87010	1	100
87011	1	100
87178	1	100
87179	1	100
87482	1	100
87976	1	100
88246	1	100
88434	1	100
88485	1	100
88782	1	100
88783	1	100
88784	1	100
89007	1	100
89124	1	100
89247	1	100
89248	1	100
89275	1	100
89319	1	100
89329	1	100
89458	1	100
89459	1	100
89558	1	100
89744	1	100
89754	1	100
89757	1	100
89765	1	100
90331	1	100
90332	1	100
90431	1	100
90432	1	100
90433	1	100
90558	1	100
90607	1	100
90608	1	100
90615	1	100
90720	1	100
91022	1	100
91045	1	100
91346	1	100
91408	1	100
91504	1	100
91741	1	100
91742	1	100
91840	1	100
91849	1	100
91870	1	100
91873	1	100
91920	1	100
92138	1	100
92262	1	100
92381	1	100
92399	1	100
92441	1	100
92508	1	100
92509	1	100
92525	1	100
92527	1	100
92562	1	100
92676	1	100
92708	1	100
92762	1	100
92771	1	100
92776	1	100
92778	1	100
92779	1	100
92782	1	100
92783	1	100
92784	1	100
92814	1	100
92815	1	100
92816	1	100
92817	1	100
92818	1	100
92848	1	100
92859	1	100
92928	1	100
92994	1	100
92995	1	100
93027	1	100
93029	1	100
93030	1	100
93031	1	100
93032	1	100
93033	1	100
93034	1	100
93035	1	100
93036	1	100
93037	1	100
93038	1	100
93039	1	100
93040	1	100
93044	1	100
93054	1	100
93257	1	100
93263	1	100
93264	1	100
93266	1	100
93312	1	100
93485	1	100
93486	1	100
93487	1	100
93502	1	100
93503	1	100
93574	1	100
93607	1	100
93608	1	100
93609	1	100
93640	1	100
93687	1	100
93688	1	100
93691	1	100
93692	1	100
93698	1	100
93719	1	100
93720	1	100
93752	1	100
93781	1	100
93861	1	100
93881	1	100
93882	1	100
93891	1	100
93892	1	100
93893	1	100
93894	1	100
93898	1	100
93899	1	100
93951	1	100
93964	1	100
93975	1	100
93982	1	100
93983	1	100
94053	1	100
94054	1	100
94055	1	100
94059	1	100
94060	1	100
94066	1	100
94067	1	100
94068	1	100
94093	1	100
94094	1	100
94109	1	100
94151	1	100
94167	1	100
94168	1	100
94169	1	100
94174	1	100
94175	1	100
94176	1	100
94177	1	100
94180	1	100
94182	1	100
94183	1	100
94272	1	100
94274	1	100
94276	1	100
94294	1	100
94298	1	100
94321	1	100
94322	1	100
94340	1	100
94345	1	100
94346	1	100
94351	1	100
94352	1	100
94383	1	100
94385	1	100
94387	1	100
94411	1	100
94413	1	100
94442	1	100
94444	1	100
94449	1	100
94450	1	100
94455	1	100
94480	1	100
94482	1	100
94485	1	100
94486	1	100
94490	1	100
94491	1	100
94501	1	100
94502	1	100
94504	1	100
94505	1	100
94506	1	100
94515	1	100
94516	1	100
94517	1	100
94527	1	100
94528	1	100
94529	1	100
94539	1	100
94543	1	100
94553	1	100
94556	1	100
94557	1	100
94558	1	100
94563	1	100
94675	1	100
94676	1	100
94677	1	100
94717	1	100
94725	1	100
94727	1	100
94745	1	100
94775	1	100
94778	1	100
94789	1	100
94807	1	100
94808	1	100
94815	1	100
94816	1	100
94817	1	100
94842	1	100
94852	1	100
94860	1	100
94861	1	100
94866	1	100
94894	1	100
94896	1	100
94897	1	100
94912	1	100
94936	1	100
94942	1	100
94943	1	100
94944	1	100
94946	1	100
94949	1	100
94950	1	100
94955	1	100
94965	1	100
94979	1	100
94982	1	100
94986	1	100
94987	1	100
94988	1	100
94990	1	100
95018	1	100
95022	1	100
95027	1	100
95028	1	100
95046	1	100
95048	1	100
95051	1	100
95052	1	100
95053	1	100
95054	1	100
95055	1	100
95056	1	100
95057	1	100
95059	1	100
95070	1	100
95073	1	100
95144	1	100
95147	1	100
95182	1	100
95183	1	100
95223	1	100
95244	1	100
95245	1	100
95253	1	100
95283	1	100
95290	1	100
95291	1	100
95296	1	100
95308	1	100
95318	1	100
95335	1	100
95347	1	100
95350	1	100
95361	1	100
95362	1	100
95366	1	100
95367	1	100
95368	1	100
95369	1	100
95370	1	100
95373	1	100
95390	1	100
95391	1	100
95393	1	100
95394	1	100
95395	1	100
95396	1	100
95401	1	100
95409	1	100
95410	1	100
95411	1	100
95412	1	100
95414	1	100
95415	1	100
95416	1	100
95418	1	100
95423	1	100
95425	1	100
95428	1	100
95440	1	100
95441	1	100
95443	1	100
95448	1	100
95451	1	100
95452	1	100
95453	1	100
95454	1	100
95455	1	100
95456	1	100
95458	1	100
95519	1	100
95520	1	100
95523	1	100
95530	1	100
95531	1	100
95537	1	100
95544	1	100
95546	1	100
95547	1	100
95551	1	100
95553	1	100
95574	1	100
95575	1	100
95582	1	100
95583	1	100
95624	1	100
95625	1	100
95679	1	100
95682	1	100
95683	1	100
95684	1	100
95685	1	100
95686	1	100
95693	1	100
95694	1	100
95702	1	100
95703	1	100
95729	1	100
92246	2	100
92880	2	100
92881	2	100
93016	2	100
93227	2	100
93323	2	100
93776	2	100
93785	2	100
93873	2	100
93877	2	100
94145	2	100
94328	2	100
94329	2	100
94605	2	100
94609	2	100
94698	2	100
94702	2	100
94703	2	100
94704	2	100
94705	2	100
94706	2	100
94708	2	100
94709	2	100
94710	2	100
94712	2	100
94713	2	100
94714	2	100
94734	2	100
94738	2	100
94739	2	100
94740	2	100
94741	2	100
94742	2	100
94746	2	100
94747	2	100
94748	2	100
94749	2	100
94750	2	100
94811	2	100
94813	2	100
94819	2	100
94820	2	100
94823	2	100
94824	2	100
94828	2	100
94829	2	100
94831	2	100
94832	2	100
94833	2	100
94835	2	100
94836	2	100
94837	2	100
94838	2	100
94839	2	100
94843	2	100
94846	2	100
94848	2	100
94849	2	100
94853	2	100
94856	2	100
94985	2	100
94992	2	100
94995	2	100
95170	2	100
95234	2	100
95241	2	100
95293	2	100
95294	2	100
95437	2	100
95712	2	100
91498	3	100
91499	3	100
92232	3	100
92809	3	100
93193	3	100
93200	3	100
93203	3	100
93205	3	100
93219	3	100
93288	3	100
93564	3	100
93604	3	100
93924	3	100
93965	3	100
